Beginn,Ende,Dienst,ein/ausgehend,Laenge,Breite,Richtung,Cell-Id_A,Cell-Id_B
8/31/2009 7:57:00,8/31/2009 8:09:00,GPRS,ausgehend,13.39611111,52.52944444,30,45830,XXXXXXXXXX
8/31/2009 8:09:00,8/31/2009 8:09:00,GPRS,ausgehend,13.38361111,52.53,240,59015,XXXXXXXXXX
8/31/2009 8:09:00,8/31/2009 8:15:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 8:15:00,8/31/2009 8:39:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 8:39:00,8/31/2009 9:09:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 9:12:00,8/31/2009 9:12:00,Telefonie,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 9:09:00,8/31/2009 9:39:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 9:39:00,8/31/2009 10:09:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 10:09:00,8/31/2009 10:39:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
,8/31/2009 10:52:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 10:52:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
8/31/2009 10:39:00,8/31/2009 10:54:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
,8/31/2009 10:58:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 11:01:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 11:14:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 11:14:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 11:14:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
8/31/2009 10:55:00,8/31/2009 11:25:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
,8/31/2009 11:28:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 11:28:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 11:28:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
8/31/2009 11:25:00,8/31/2009 11:55:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 11:55:00,8/31/2009 12:25:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 12:30:00,8/31/2009 12:31:00,"Telefonie, CFNRy",eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
,8/31/2009 12:31:00,SMS,eingehend,13.37472222,52.53027778,120,XXXXXXXXXX,1845
8/31/2009 12:25:00,8/31/2009 12:55:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
,8/31/2009 12:55:00,SMS,eingehend,13.36888889,52.52611111,null,XXXXXXXXXX,33435
8/31/2009 13:02:00,8/31/2009 13:02:00,GPRS,ausgehend,13.37583333,52.48972222,0,10927,XXXXXXXXXX
8/31/2009 12:55:00,8/31/2009 13:02:00,GPRS,ausgehend,13.37472222,52.53027778,120,1845,XXXXXXXXXX
8/31/2009 13:04:00,8/31/2009 13:04:00,"Telefonie, CFB",eingehend,13.34722222,52.47222222,120,XXXXXXXXXX,15274
,8/31/2009 13:05:00,SMS,eingehend,13.34722222,52.47222222,120,XXXXXXXXXX,15274
,8/31/2009 13:06:00,SMS,eingehend,13.36083333,52.44944444,0,XXXXXXXXXX,787
,8/31/2009 13:07:00,SMS,eingehend,13.36083333,52.44944444,0,XXXXXXXXXX,787
8/31/2009 13:02:00,8/31/2009 13:14:00,GPRS,ausgehend,13.37583333,52.48972222,300,41529,XXXXXXXXXX
8/31/2009 13:04:00,8/31/2009 13:14:00,Telefonie,ausgehend,13.35472222,52.48083333,120,44952,XXXXXXXXXX
8/31/2009 13:14:00,8/31/2009 13:15:00,Telefonie,ausgehend,13.26388889,52.28194444,180,45579,XXXXXXXXXX
8/31/2009 13:18:00,8/31/2009 13:20:00,Telefonie,ausgehend,13.24055556,52.17805556,210,44573,XXXXXXXXXX
8/31/2009 13:14:00,8/31/2009 13:21:00,GPRS,ausgehend,13.26388889,52.28194444,0,45574,XXXXXXXXXX
8/31/2009 13:21:00,8/31/2009 13:21:00,GPRS,ausgehend,13.17638889,52.09388889,0,15130,XXXXXXXXXX
,8/31/2009 13:21:00,SMS,eingehend,13.16166667,52.09166667,240,XXXXXXXXXX,6683
8/31/2009 13:24:00,8/31/2009 13:27:00,Telefonie,ausgehend,13.08472222,52.00805556,null,8876,XXXXXXXXXX
,8/31/2009 13:31:00,SMS,eingehend,12.77555556,51.92,null,XXXXXXXXXX,19577
,8/31/2009 13:31:00,SMS,eingehend,12.77555556,51.92,null,XXXXXXXXXX,19577
,8/31/2009 13:34:00,SMS,eingehend,12.74083333,51.89166667,270,XXXXXXXXXX,4602
8/31/2009 13:21:00,8/31/2009 13:37:00,GPRS,ausgehend,13.16166667,52.09166667,240,25177,XXXXXXXXXX
8/31/2009 13:37:00,8/31/2009 13:38:00,GPRS,ausgehend,12.67444444,51.86833333,290,59260,XXXXXXXXXX
8/31/2009 13:37:00,8/31/2009 13:38:00,Telefonie,ausgehend,12.67444444,51.86833333,290,59260,XXXXXXXXXX
8/31/2009 13:38:00,8/31/2009 13:51:00,GPRS,ausgehend,12.64555556,51.84305556,null,60597,XXXXXXXXXX
8/31/2009 13:51:00,8/31/2009 13:52:00,GPRS,ausgehend,12.3075,51.59777778,300,18649,XXXXXXXXXX
8/31/2009 13:52:00,8/31/2009 13:53:00,GPRS,ausgehend,12.27138889,51.57194444,null,32199,XXXXXXXXXX
8/31/2009 13:53:00,8/31/2009 13:55:00,GPRS,ausgehend,12.33166667,51.53694444,60,17115,XXXXXXXXXX
8/31/2009 13:55:00,8/31/2009 13:59:00,GPRS,ausgehend,12.35416667,51.51777778,170,60705,XXXXXXXXXX
8/31/2009 13:59:00,8/31/2009 14:23:00,GPRS,ausgehend,12.38916667,51.40888889,300,34057,XXXXXXXXXX
8/31/2009 14:23:00,8/31/2009 14:26:00,GPRS,ausgehend,12.35916667,51.36333333,60,2658,XXXXXXXXXX
8/31/2009 14:26:00,8/31/2009 14:27:00,GPRS,ausgehend,12.30138889,51.35194444,60,59068,XXXXXXXXXX
8/31/2009 14:27:00,8/31/2009 14:28:00,GPRS,ausgehend,12.29333333,51.34638889,180,24234,XXXXXXXXXX
8/31/2009 14:28:00,8/31/2009 14:28:00,GPRS,ausgehend,12.26888889,51.34722222,180,43841,XXXXXXXXXX
8/31/2009 14:28:00,8/31/2009 14:29:00,GPRS,ausgehend,12.26444444,51.32333333,300,6722,XXXXXXXXXX
8/31/2009 14:29:00,8/31/2009 14:31:00,GPRS,ausgehend,12.26444444,51.32333333,300,34037,XXXXXXXXXX
8/31/2009 14:35:00,8/31/2009 14:40:00,"Telefonie, CLIP",eingehend,12.12444444,51.30555556,120,XXXXXXXXXX,9550
8/31/2009 14:43:00,8/31/2009 14:43:00,Telefonie,ausgehend,12.025,51.26472222,190,960,XXXXXXXXXX
8/31/2009 14:44:00,8/31/2009 14:50:00,Telefonie,ausgehend,12.01861111,51.24138889,null,64038,XXXXXXXXXX
8/31/2009 14:31:00,8/31/2009 14:52:00,GPRS,ausgehend,12.2275,51.30972222,180,39796,XXXXXXXXXX
8/31/2009 14:52:00,8/31/2009 14:53:00,GPRS,ausgehend,11.82138889,51.16,350,21176,XXXXXXXXXX
8/31/2009 15:10:00,8/31/2009 15:22:00,"Telefonie, CLIP",eingehend,11.66388889,51.01305556,null,XXXXXXXXXX,6922
8/31/2009 15:22:00,8/31/2009 15:22:00,"Telefonie, CFB",eingehend,11.59583333,50.88638889,210,XXXXXXXXXX,20648
,8/31/2009 15:22:00,SMS,eingehend,11.59583333,50.88638889,210,XXXXXXXXXX,20648
8/31/2009 14:53:00,8/31/2009 15:23:00,GPRS,ausgehend,11.80027778,51.16277778,340,1834,XXXXXXXXXX
8/31/2009 15:23:00,8/31/2009 15:23:00,GPRS,ausgehend,11.70388889,51.04333333,null,21621,XXXXXXXXXX
8/31/2009 15:23:00,8/31/2009 15:25:00,GPRS,ausgehend,11.60138889,50.88166667,330,6105,XXXXXXXXXX
8/31/2009 15:26:00,8/31/2009 15:26:00,Telefonie,ausgehend,11.60944444,50.84472222,330,35363,XXXXXXXXXX
8/31/2009 15:29:00,8/31/2009 15:30:00,Telefonie,ausgehend,11.60361111,50.80527778,330,20734,XXXXXXXXXX
,8/31/2009 15:36:00,SMS,eingehend,11.52138889,50.77555556,null,XXXXXXXXXX,18861
8/31/2009 15:34:00,8/31/2009 15:39:00,"Telefonie, CLIP",eingehend,11.52138889,50.77555556,null,XXXXXXXXXX,18861
8/31/2009 15:25:00,8/31/2009 15:41:00,GPRS,ausgehend,11.60861111,50.88111111,210,58899,XXXXXXXXXX
8/31/2009 15:43:00,8/31/2009 15:43:00,GPRS,ausgehend,11.33611111,50.70472222,60,16669,XXXXXXXXXX
